51412	6599
440738	60673
3181	920
2956	4683
5720	7965
145946	386677
1147	23647
10253	1508
10403	79003
3315	5581
5583	6714
2057	5594
53615	6386
2271	3692
10397	6880
8450	8452
10524	6303
7421	86
5976	8661
60	6191
1019	3725
25814	373156
3308	63922
2060	9253
219333	23239
259217	84466
23451	9939
23468	92815
55743	6790
56852	5888
2885	7553
2885	4928
23405	6122
84676	85476
5430	54623
2810	83737
4163	5110
54900	7535
11151	2801
1312	79078
3560	5295
6168	9513
7915	8803
3184	3326
199221	220082
2957	6878
4034	4188
4904	64960
388	9138
3219	373
140691	7536
3192	4670
5116	55165
1019	10658
3866	55231
11030	55342
55696	9410
23028	675
166	93986
23013	3516
80012	8535
10142	1616
51690	84991
255488	9246
164153	9618
5601	6207
170082	25788
6143	6205
6217	6218
29115	7988
2534	7041
2011	207
2130	440275
3675	682
9658	9839
6457	6638
6156	8454
4831	6418
10286	24144
3839	6418
284252	55093
1588	2189
84440	8766
23020	8563
51116	6228
3066	5925
1080	488
1026	7088
6625	9584
10992	6634
9126	9500
1108	6880
23380	356
6721	8841
10152	22954
23268	26999
1080	27183
51263	51642
7205	8572
5747	7145
6202	8554
6613	833
10482	55916
114928	8481
10241	57542
56259	6427
3324	4846
26994	6772
1738	6470
2120	2313
51434	64682
10975	1337
1441	7314
2099	5925
5977	86
56952	9852
4694	4726
2771	6129
112744	64395
51258	64981
292	8717
10081	79706
1855	390598
10450	6637
3623	7049
283970	55290
4701	55967
2969	8517
1457	995
51127	7322
29844	8178
27250	5664
2244	5104
7311	7415
116540	56945
23304	7320
382	528
26071	79839
26003	5152
27330	64780
23039	5901
663	89885
136319	4790
604	9219
10197	11033
55705	6188
2778	7433
23549	3884
79446	9240
3786	801
5976	6193
3916	7128
1460	3181
408	6721
10514	6136
64969	64979
55734	7621
24148	58509
10513	5567
1003	1499
22828	8493
163	293
116541	51081
84708	9319
11128	5318
1917	23118
6281	7316
10933	8607
3181	6141
1891	35
11338	2688
4602	8458
11052	55660
57410	92344
4192	7846
2065	5335
219541	51586
10526	8607
55540	7189
201176	998
64968	7681
51608	9817
11007	55813
5275	5340
3309	338
3608	8175
1528	6319
539	8517
1660	9221
6135	81887
2492	6281
11345	4734
10524	7572
310	3234
11051	25962
53615	85509
4128	8288
7316	9314
1031	9094
6137	6170
3187	6636
596	663
353132	386677
23283	2801
3209	4212
10482	4131
10248	10775
54434	7529
60561	63898
6430	84811
147872	56649
1857	22893
55168	57129
1939	3074
29796	4708
55166	64105
3065	6774
1994	26156
10993	92483
5125	5367
2100	8805
2091	23450
5594	7409
3419	3420
3667	3716
5034	6648
54881	728937
358	7205
4066	4792
7132	8737
11043	255877
1495	56288
51602	6144
4049	7133
5337	5879
10891	8856
10992	6210
5595	6868
3983	7186
10557	6714
134	2037
4188	5565
6159	8452
51755	7536
3107	3276
11051	27336
1994	6418
51428	57187
125115	84106
4298	57492
29062	6386
3827	3848
2184	6925
4705	79184
5580	7504
6092	93145
5898	8531
10573	51373
1871	5570
10845	9391
159195	9470
1503	7189
2175	3848
3106	5862
11224	23263
6923	6924
2958	6882
2932	51412
10048	2908
3164	5349
4541	4713
140890	3183
23382	84464
28511	7083
2010	4023
5310	9564
5092	9513
55791	6176
51082	84172
1406	9247
653361	6688
143241	8382
10856	6135
6477	6907
30008	79088
6208	9040
3608	51065
51760	60491
6133	6167
1432	55671
3897	4478
11170	123722
3611	6464
6154	8886
23387	7185
125115	389741
26051	80321
11277	386675
6217	9188
5970	9252
5331	9368
63948	64333
6159	6222
10524	580
6720	983
1785	54469
11267	60491
11066	6628
25804	26986
10465	7307
255877	2801
10285	8449
1122	5868
1410	337879
23020	7919
2243	2266
57562	7534
2273	4604
23543	3182
6429	6625
5434	55090
6157	6203
6135	6191
1837	6640
2036	4926
1655	2521
6626	80145
6125	83939
11030	83640
5111	6194
3550	51428
10163	26999
8216	85363
11338	79228
1499	7048
5047	8815
3622	79595
2332	6144
25843	6794
1105	408
3229	328
1748	6128
6129	6228
1292	27185
2904	55914
1933	9706
5694	5698
23281	64781
27043	6129
23107	6193
3791	52
29948	5966
64170	7341
356	6457
1622	16534
222235	6134
51649	6210
54033	9444
3065	6299
1622	55968
23263	27292
1741	6331
5597	5599
2011	57551
10274	1107
117178	287015
11103	81030
3880	9470
26953	4831
3783	5571
4300	55791
11103	6152
6924	8651
4188	5709
55785	7532
9230	9727
10755	23095
7161	8554
2770	51655
6256	6882
580	64753
1729	983
5987	6386
5174	6583
23678	9351
65258	79088
3958	5321
546	57562
23126	6613
2038	3845
54472	7381
10614	1956
1742	8321
5356	6432
4673	51631
6749	83939
3183	6144
6271	6275
1434	5536
138428	171483
6157	64960
22941	9229
4172	49856
6628	6629
171392	3553
2033	7629
2034	3646
353	4860
2873	3705
3632	84812
3911	4653
284695	79084
2151	4690
2534	81875
5970	602
6449	7033
815	9270
10114	3985
2444	5728
23469	5245
7317	9978
11065	11275
6137	6169
23710	8987
2023	2771
2280	7528
6157	6227
5708	573
5293	84164
4188	58191
11161	7083
51247	51366
3857	4193
6134	6144
23398	51639
284996	6189
10318	7128
